Date,D0,Value
1992-11,1J,6.064
1992-11,2J,5.8870000000000005
1992-11,3J,5.845
1992-11,4J,5.867000000000001
1992-11,5J,5.912999999999999
1992-11,6J,5.962999999999999
1992-11,7J,6.006
1992-11,8J,6.037999999999999
1992-11,9J,6.056
1992-11,10J,6.063
1992-11,20J,5.7620000000000005
1992-11,30J,
1992-12,1J,5.797000000000001
1992-12,2J,5.529
1992-12,3J,5.433
1992-12,4J,5.428
1992-12,5J,5.466
1992-12,6J,5.519
1992-12,7J,5.5729999999999995
1992-12,8J,5.619
1992-12,9J,5.655
1992-12,10J,5.68
1992-12,20J,5.526
1992-12,30J,
1993-01,1J,5.138999999999999
1993-01,2J,5.114
1993-01,3J,5.14
1993-01,4J,5.195
1993-01,5J,5.263
1993-01,6J,5.332999999999999
1993-01,7J,5.399
1993-01,8J,5.456
1993-01,9J,5.502999999999999
1993-01,10J,5.539
1993-01,20J,5.36
1993-01,30J,
1993-02,1J,4.894
1993-02,2J,4.785
1993-02,3J,4.8260000000000005
1993-02,4J,4.872
1993-02,5J,4.899
1993-02,6J,4.9110000000000005
1993-02,7J,4.914
1993-02,8J,4.913
1993-02,9J,4.91
1993-02,10J,4.907
1993-02,20J,4.888
1993-02,30J,
1993-03,1J,4.5089999999999995
1993-03,2J,4.444
1993-03,3J,4.475
1993-03,4J,4.522
1993-03,5J,4.566
1993-03,6J,4.602
1993-03,7J,4.631
1993-03,8J,4.654
1993-03,9J,4.673
1993-03,10J,4.688
1993-03,20J,4.756
1993-03,30J,
1993-04,1J,4.47
1993-04,2J,4.2669999999999995
1993-04,3J,4.346
1993-04,4J,4.473
1993-04,5J,4.582
1993-04,6J,4.666
1993-04,7J,4.729
1993-04,8J,4.777
1993-04,9J,4.815
1993-04,10J,4.845
1993-04,20J,4.981
1993-04,30J,
1993-05,1J,4.626
1993-05,2J,4.257
1993-05,3J,4.239
1993-05,4J,4.348
1993-05,5J,4.474
1993-05,6J,4.584
1993-05,7J,4.673
1993-05,8J,4.743
1993-05,9J,4.8
1993-05,10J,4.846
1993-05,20J,5.053999999999999
1993-05,30J,
1993-06,1J,4.54
1993-06,2J,4.364
1993-06,3J,4.352
1993-06,4J,4.388999999999999
1993-06,5J,4.4319999999999995
1993-06,6J,4.471
1993-06,7J,4.503
1993-06,8J,4.529
1993-06,9J,4.5489999999999995
1993-06,10J,4.566
1993-06,20J,4.643
1993-06,30J,
1993-07,1J,4.317
1993-07,2J,4.2589999999999995
1993-07,3J,4.308
1993-07,4J,4.376
1993-07,5J,4.434
1993-07,6J,4.479
1993-07,7J,4.51
1993-07,8J,4.53
1993-07,9J,4.542
1993-07,10J,4.546
1993-07,20J,4.39
1993-07,30J,
1993-08,1J,4.336
1993-08,2J,4.225
1993-08,3J,4.268
1993-08,4J,4.335
1993-08,5J,4.3919999999999995
1993-08,6J,4.4319999999999995
1993-08,7J,4.457
1993-08,8J,4.471
1993-08,9J,4.478
1993-08,10J,4.479
1993-08,20J,4.418
1993-08,30J,
1993-09,1J,4.213
1993-09,2J,4.111000000000001
1993-09,3J,4.132
1993-09,4J,4.195
1993-09,5J,4.263999999999999
1993-09,6J,4.325
1993-09,7J,4.374
1993-09,8J,4.4110000000000005
1993-09,9J,4.438
1993-09,10J,4.455
1993-09,20J,4.379
1993-09,30J,
1993-10,1J,3.9989999999999997
1993-10,2J,3.888
1993-10,3J,3.926
1993-10,4J,3.9930000000000003
1993-10,5J,4.056
1993-10,6J,4.105
1993-10,7J,4.1419999999999995
1993-10,8J,4.17
1993-10,9J,4.192
1993-10,10J,4.208
1993-10,20J,4.268
1993-10,30J,
1993-11,1J,3.867
1993-11,2J,3.767
1993-11,3J,3.8310000000000004
1993-11,4J,3.927
1993-11,5J,4.015
1993-11,6J,4.087
1993-11,7J,4.143
1993-11,8J,4.186
1993-11,9J,4.22
1993-11,10J,4.247
1993-11,20J,4.368
1993-11,30J,
1993-12,1J,3.552
1993-12,2J,3.457
1993-12,3J,3.534
1993-12,4J,3.658
1993-12,5J,3.781
1993-12,6J,3.886
1993-12,7J,3.971
1993-12,8J,4.039
1993-12,9J,4.093
1993-12,10J,4.136
1993-12,20J,4.321000000000001
1993-12,30J,
1994-01,1J,3.653
1994-01,2J,3.543
1994-01,3J,3.613
1994-01,4J,3.733
1994-01,5J,3.8539999999999996
1994-01,6J,3.957
1994-01,7J,4.042
1994-01,8J,4.109
1994-01,9J,4.163
1994-01,10J,4.206
1994-01,20J,4.391
1994-01,30J,
1994-02,1J,3.806
1994-02,2J,3.6860000000000004
1994-02,3J,3.807
1994-02,4J,3.969
1994-02,5J,4.109
1994-02,6J,4.22
1994-02,7J,4.305
1994-02,8J,4.371
1994-02,9J,4.423
1994-02,10J,4.465
1994-02,20J,4.654
1994-02,30J,
1994-03,1J,3.9410000000000003
1994-03,2J,3.948
1994-03,3J,4.035
1994-03,4J,4.146
1994-03,5J,4.258
1994-03,6J,4.3580000000000005
1994-03,7J,4.445
1994-03,8J,4.519
1994-03,9J,4.582
1994-03,10J,4.6339999999999995
1994-03,20J,4.888999999999999
1994-03,30J,
1994-04,1J,4.033
1994-04,2J,4.1930000000000005
1994-04,3J,4.3469999999999995
1994-04,4J,4.49
1994-04,5J,4.621
1994-04,6J,4.737
1994-04,7J,4.8389999999999995
1994-04,8J,4.926
1994-04,9J,5.001
1994-04,10J,5.062
1994-04,20J,5.202999999999999
1994-04,30J,
1994-05,1J,4.045
1994-05,2J,3.978
1994-05,3J,4.131
1994-05,4J,4.334
1994-05,5J,4.523
1994-05,6J,4.681
1994-05,7J,4.8069999999999995
1994-05,8J,4.907
1994-05,9J,4.984
1994-05,10J,5.046
1994-05,20J,5.307
1994-05,30J,
1994-06,1J,4.367
1994-06,2J,4.343
1994-06,3J,4.513
1994-06,4J,4.721
1994-06,5J,4.897
1994-06,6J,5.034
1994-06,7J,5.138999999999999
1994-06,8J,5.218999999999999
1994-06,9J,5.2829999999999995
1994-06,10J,5.334
1994-06,20J,5.565
1994-06,30J,
1994-07,1J,4.452
1994-07,2J,4.449
1994-07,3J,4.552
1994-07,4J,4.7010000000000005
1994-07,5J,4.846
1994-07,6J,4.97
1994-07,7J,5.071000000000001
1994-07,8J,5.153
1994-07,9J,5.218999999999999
1994-07,10J,5.273
1994-07,20J,5.523
1994-07,30J,
1994-08,1J,4.605
1994-08,2J,4.776
1994-08,3J,4.919
1994-08,4J,5.0489999999999995
1994-08,5J,5.16
1994-08,6J,5.252999999999999
1994-08,7J,5.33
1994-08,8J,5.394
1994-08,9J,5.447
1994-08,10J,5.492000000000001
1994-08,20J,5.712999999999999
1994-08,30J,
1994-09,1J,4.535
1994-09,2J,4.843
1994-09,3J,5.04
1994-09,4J,5.188
1994-09,5J,5.306
1994-09,6J,5.402
1994-09,7J,5.48
1994-09,8J,5.542999999999999
1994-09,9J,5.593999999999999
1994-09,10J,5.636
1994-09,20J,5.821000000000001
1994-09,30J,
1994-10,1J,4.336
1994-10,2J,4.761
1994-10,3J,5.021
1994-10,4J,5.188
1994-10,5J,5.3020000000000005
1994-10,6J,5.385
1994-10,7J,5.45
1994-10,8J,5.504
1994-10,9J,5.551
1994-10,10J,5.593999999999999
1994-10,20J,5.869
1994-10,30J,
1994-11,1J,4.4239999999999995
1994-11,2J,4.723
1994-11,3J,4.915
1994-11,4J,5.051
1994-11,5J,5.148
1994-11,6J,5.218
1994-11,7J,5.271
1994-11,8J,5.311
1994-11,9J,5.343
1994-11,10J,5.367999999999999
1994-11,20J,5.483
1994-11,30J,
1994-12,1J,4.586
1994-12,2J,4.718
1994-12,3J,4.842
1994-12,4J,4.957
1994-12,5J,5.051
